nro_socio;fecha_alta;localidad;tarifa ;consumo_prom_kwh;variacion_consumo_%;antiguedad_meses;cant_reclamos;cortes_ultimo_anio;horas_sin_servicio;facturas_emitidas;facturas_vencidas;medidor_inteligente;adhesion_debito;edad_titular;canal_contacto;codigo_postal;estado
100484;2006-11-11;Trenel;Residencial;-99;-4,8;235;0;3;15,8 hs;12;2;No;No;75;App;6200;Activo
101098;21/11/2004;Santa Rosa;Comercial;440;-7,1;259;0;4;2,9 hs;12;3;No;Sí;72;Web;;Activo
100123;2003-07-30;Intendente Alvear;Residencial;159;-50,3;275;0;2;1,3 hs;12;1;N/D;No;47;Oficina;s/d;Activo
100044;05/03/2008;Realicó;Residencial;132;-6,6;219;0;0;0,0 hs;12;2;No;Sí;40;Teléfono;-;Activo
100862;2021-05-26;Sta. Rosa;Residencial;111;-33,7;58;0;3;10,1 hs;12;2;;No;55;App;-;Activo
100091;25/10/2015;Realicó;Residencial;221;-0,6;126;2;2;8,3 hs;12;2;-;Sí;81;Web;-;Activo
100111;04/09/1996;Eduardo Castex;Comercial;502;15,2;359;1;1;1,6 hs;12;1;-;Sí;39;Teléfono;s/d;Activo
101013;08/08/2007;santa rosa;residencial;-99;17,3;226;s/d;3;9,3 hs;12;1;s/d;No;40;Web;;Activo
100211;2017-02-16;eduardo castex;Comercial;222;-30,5;110;0;1;1,3 hs;12;0;s/d;Sí;32;Web;;Baja
100590;07/12/2001;Intendente Alvear;Comercial;195;45,5;295;0;3;7,3 hs;12;1;No;Sí;71;Oficina;-;Activo
100812;28/07/2009;Realicó;Residencial;279;0;202;0;2;3,8 hs;12;1;-;Sí;49;Teléfono;;Activo
100479;2009-07-28;Intendente Alvear;Comercial;770;28,6;202;0;1;3,0 hs;12;1;No;No;39;Teléfono;-;Baja
101147;1998-04-27;Trenel;Comercial;99;-11;339;0;3;15,6 hs;12;3;Sí;No;48;Oficina;-;Activo
100528;;Eduardo Castex;Comercial;329;-16,7;107;1;6;11,2 hs;12;0;No;Sí;41;Teléfono;;Baja
100250;01/06/1997;Intendente Alvear;RESIDENCIAL ;141;29,3;350;0;5;20,3 hs;12;0;No;Sí;34;Web;s/d;Activo
100431;1997-09-29;general pico;Residencial;369;25,9;346;3;1;5,8 hs;12;2;;No;56;Oficina;6300;Activo
100807;27/12/2020;E. Castex;Resid.;240;-;63;0;3;4,8 hs;12;0;No;No;50;Web;;Activo
100435;12/07/2012;Intendente Alvear;Comercial;383;-28,6;166;2;0;0,0 hs;12;5;No;Sí;49;Teléfono;-;Baja
101070;2024-03-11;Sta. Rosa;Residencial;141;-45,7;24;0;4;2,4 hs;12;3;Sí;No;49;App;-;Activo
100930;2020-09-28;Realicó;Rural;175;-0,7;66;2;0;0,0 hs;12;3;s/d;Sí;80;Teléfono;N/D;Activo
100607;2003-11-27;General Pico;Residencial;176;12,1;271;0;1;4,4 hs;12;2;No;No;46;Teléfono;s/d;Activo
100541;29/05/2009;General Pico;RESIDENCIAL ;298;s/d;204;s/d;3;15,3 hs;12;1;Sí;Sí;68;Teléfono;s/d;Activo
100670;2016-02-22;Trenel;Residencial;183;11,2;122;1;1;5,8 hs;12;1;-;No;56;Oficina;;Baja
101148;2023-08-14;santa rosa;Comercial;120;47,2;31;-;3;4,4 hs;12;1;No;No;65;App;N/D;Baja
100571;04/07/2025;Intendente Alvear;Comercial;252;2,5;8;1;2;6,0 hs;12;0;Sí;Sí;47;Oficina;;Activo
101042;30/10/2014;Trenel;Residencial;-99;-2;138;-;6;16,2 hs;12;1;N/D;No;42;Teléfono;;Baja
100711;29/05/2009;General Pico;residencial;300;31;204;1;2;4,4 hs;12;4;Sí;Sí;37;Teléfono;N/D;Activo
100831;2003-05-01;Santa Rosa;Residencial;282;24,4;278;0;3;10,4 hs;12;1;Sí;Sí;43;Teléfono;-;Activo
101000;03/06/2008;Eduardo Castex;Resid.;389;-2,7;216;0;4;2,3 hs;12;2;No;Sí;55;App;;Activo
101088;2008-10-31;General Pico;residencial;192;-43,1;211;1;2;6,9 hs;12;1;No;No;61;Teléfono;s/d;Baja
100807;27/12/2020;E. Castex;Resid.;240;-;63;0;3;4,8 hs;12;0;No;No;50;Web;;Activo
100598;2025-12-01;eduardo castex;RURAL;133;61,3;3;1;3;9,2 hs;12;2;No;No;67;Oficina;-;Baja
101106;1997-06-01;E. Castex;Residencial;231;15,9;350;1;1;1,3 hs;12;2;s/d;Sí;64;Web;s/d;Activo
100160;2024-11-06;Realicó;Residencial;415;11,6;16;2;1;4,6 hs;12;1;Sí;Sí;49;Oficina;;Activo
100390;1998-11-23;general pico;RESIDENCIAL ;244;31,1;332;1;4;5,3 hs;12;0;No;Sí;66;Teléfono;s/d;Activo
100324;2005-04-20;santa rosa;residencial;155;6,6;254;;2;8,5 hs;12;1;;No;35;Web;;Activo
100795;2023-02-15;Eduardo Castex;RESIDENCIAL ;111;15,6;37;1;3;10,1 hs;12;2;s/d;Sí;39;Oficina;;Activo
101055;2004-07-24;santa rosa;Resid.;180;-56,1;263;1;3;3,8 hs;12;18;-;Sí;58;Teléfono;s/d;Activo
100597;19/08/2022;Realicó;Residencial;725;-22,6;43;3;2;2,4 hs;12;0;No;No;53;Oficina;s/d;Activo
100082;31/05/2003;Eduardo Castex;Rural;300;-41,9;277;1;1;4,8 hs;12;2;-;No;41;Web;s/d;Activo
100824;22/05/2016;Eduardo Castex;Residencial;381;-2,5;119;0;2;4,7 hs;12;0;No;Sí;55;App;;Activo
100783;01/08/2014;Trenel;Residencial;216;3,7;141;1;0;0,0 hs;12;1;No;No;62;Oficina;-;Activo
100268;;Realicó;Residencial;129;-8,5;177;1;3;9,4 hs;12;0;Sí;No;43;App;N/D;Activo
101128;23/01/2016;Trenel;residencial;154;-21,7;123;0;0;0,0 hs;12;1;No;No;56;Teléfono;;Activo
100999;12/06/2012;Santa Rosa;Residencial;191;17,6;167;0;3;4,0 hs;12;3;Sí;Sí;86;App;-;Activo
100387;10/04/2024;Eduardo Castex;Residencial;196;-15,6;23;0;3;1,7 hs;12;1;-;Sí;24;Web;6380;Activo
101104;15/11/2011;Intendente Alvear;Residencial;254;-25;174;-;6;3,2 hs;12;2;No;No;61;Teléfono;N/D;Activo
100877;29/03/2015;General Pico;Residencial;224;4;133;0;2;4,5 hs;12;2;Sí;No;57;Web;6300;Baja
100477;30/07/2003;Trenel;Rural;149;-10;275;1;6;34,1 hs;12;0;No;No;82;Teléfono;;Baja
100666;2014-02-02;santa rosa;Resid.;251;-26,2;147;3;2;7,2 hs;12;3;No;No;54;Web;s/d;Activo
100876;04/08/2002;Santa Rosa;Comercial;132;35,1;287;;3;17,6 hs;12;2;s/d;No;68;Oficina;;Baja
100428;1997-11-28;eduardo castex;Comercial;196;17,7;344;0;4;7,3 hs;12;1;N/D;Sí;42;Teléfono;N/D;Activo
100900;07/04/2019;E. Castex;Residencial;409;-20,7;84;-;3;4,8 hs;12;2;;Sí;45;Teléfono;-;Activo
100981;2016-02-22;Intendente Alvear;Residencial;346;N/D;122;1;0;0,0 hs;12;0;No;Sí;55;Oficina;s/d;Activo
100392;20/03/2011;general pico;Residencial;231;64,3;182;2;2;3,9 hs;12;1;No;No;52;Teléfono;6300;Activo
100127;21/01/2022;Trenel;Residencial;119;-18,2;50;0;3;14,8 hs;12;1;s/d;Sí;45;Teléfono;N/D;Activo
100042;07/02/2013;E. Castex;Residencial;371;-0,1;159;1;2;3,6 hs;12;0;N/D;No;54;Web;N/D;Activo
101008;2010-02-23;Realicó;RURAL;259;2,1;195;0;3;15,4 hs;12;0;s/d;No;54;Web;N/D;Activo
100199;2023-06-15;Intendente Alvear;Rural;317;-9,8;33;2;4;22,6 hs;12;0;Sí;No;64;Web;6385;Baja
101145;01/08/2014;Trenel;Comercial;427;35;141;2;3;14,8 hs;12;1;No;No;69;Web;N/D;Baja
100199;2023-06-15;Intendente Alvear;Rural;317;-9,8;33;2;4;22,6 hs;12;0;Sí;No;64;Web;6385;Baja
100243;2006-04-15;Trenel;Comercial;455;11,6;242;2;1;1,8 hs;12;2;No;Sí;18;Web;N/D;Activo
100673;1996-12-03;Eduardo Castex;RESIDENCIAL ;108;33,5;356;0;1;2,7 hs;12;2;Sí;No;53;Teléfono;-;Activo
100821;25/05/2004;Santa Rosa;Residencial;113;8,1;265;1;3;14,4 hs;12;1;No;No;26;Oficina;N/D;Activo
100183;2020-12-27;Trenel;Resid.;258;-2;63;0;4;18,4 hs;12;3;No;Sí;18;Web;-;Activo
100305;2004-12-21;General Pico;Resid.;224;-1,5;258;0;1;2,2 hs;12;1;;No;52;App;-;Activo
101180;29/11/2014;Realicó;RESIDENCIAL ;267;5,7;137;1;4;17,5 hs;12;1;N/D;Sí;50;Web;s/d;Baja
100658;2025-12-31;Trenel;RESIDENCIAL ;292;17,6;2;2;1;3,5 hs;12;15;N/D;Sí;39;Oficina;-;Baja
100090;2005-04-20;General Pico;Resid.;260;-1,4;254;0;1;3,5 hs;12;1;Sí;No;65;Oficina;-;Activo
100501;2021-09-23;Intendente Alvear;Comercial;212;42,4;54;0;3;9,1 hs;12;18;Sí;Sí;52;Teléfono;6360;Activo
100522;21/10/2010;General Pico;residencial;129;-34,4;187;2;2;6,3 hs;12;1;No;Sí;47;Teléfono;-;Activo
100942;2011-07-18;Santa Rosa;Rural;340;-22;178;0;5;25,3 hs;12;1;No;Sí;47;Oficina;-;Activo
100483;23/03/1999;Eduardo Castex;Residencial;266;7,5;328;1;1;3,4 hs;12;3;No;No;43;Oficina;s/d;Baja
100641;09/07/2024;Intendente Alvear;Resid.;344;-15,2;20;1;1;1,2 hs;12;1;No;No;31;Web;N/D;Activo
100079;2004-05-25;Sta. Rosa;Resid.;164;45,8;265;-;4;7,9 hs;12;0;N/D;Sí;50;Oficina;s/d;Baja
100049;2015-09-25;Intendente Alvear;Rural;118;26,2;127;1;3;17,9 hs;12;1;No;No;56;Teléfono;s/d;Activo
100407;07/11/2001;Eduardo Castex;Comercial;211;12,1;296;1;3;4,8 hs;12;2;No;No;71;App;;Baja
100650;2016-11-18;Eduardo Castex;Residencial;295;-29;113;0;5;25,8 hs;12;1;;No;54;App;N/D;Activo
101125;1999-04-22;Intendente Alvear;Residencial;305;-7,4;327;1;2;6,4 hs;12;0;Sí;Sí;45;Web;;Activo
100854;16/04/2000;E. Castex;Residencial;163;-14,9;315;0;4;4,0 hs;12;3;Sí;No;64;Teléfono;6360;Activo
100556;2020-02-01;Intendente Alvear;Rural;275;-53,4;74;1;3;13,1 hs;12;1;No;Sí;47;Teléfono;;Activo
100379;27/12/2020;eduardo castex;Comercial;317;24,9;63;N/D;4;2,8 hs;12;1;No;No;67;Web;N/D;Baja
100233;2016-03-23;Trenel;Residencial;;-17,6;121;;2;6,1 hs;12;2;Sí;No;67;Web;-;Baja
101130;2011-02-18;general pico;RESIDENCIAL ;281;12,9;183;1;0;0,0 hs;12;1;No;No;31;Oficina;-;Activo
100957;2025-02-04;Intendente Alvear;residencial;254;-9,3;13;0;1;5,4 hs;12;2;-;No;38;Oficina;s/d;Baja
100027;2001-02-10;Gral. Pico;Comercial;255;-20,4;305;1;3;7,6 hs;12;0;-;No;41;Web;-;Activo
100009;2004-12-21;Trenel;RURAL;237;47,3;258;1;0;0,0 hs;12;0;No;No;34;Web;s/d;Baja
100246;2014-05-03;General Pico;Residencial;113;26,4;144;0;1;5,6 hs;12;3;;No;26;Teléfono;N/D;Baja
100118;24/05/2010;Realicó;Comercial;170;-17,6;192;3;1;1,6 hs;12;0;No;Sí;57;Teléfono;6300;Activo
101173;2013-08-06;Intendente Alvear;Rural;633;;153;0;2;5,0 hs;12;0;Sí;Sí;39;Teléfono;-;Activo
101146;2020-03-02;Realicó;RESIDENCIAL ;209;22,6;73;N/D;0;0,0 hs;12;1;No;No;40;App;s/d;Activo
100359;2022-03-22;E. Castex;RESIDENCIAL ;463;-2,2;48;-;4;20,9 hs;12;2;No;No;59;App;-;Activo
100864;01/11/2025;Realicó;Residencial;83;60,5;4;4;2;9,7 hs;12;1;No;No;32;Teléfono;-;Baja
100015;2005-08-18;Santa Rosa;Rural;123;21;250;2;1;2,9 hs;12;0;No;No;46;App;s/d;Activo
100415;2025-11-01;General Pico;Residencial;94;27;4;2;4;9,8 hs;12;1;No;No;49;Teléfono;-;Baja
101126;2002-01-06;Realicó;Residencial;-;9,5;294;0;5;10,2 hs;12;2;Sí;No;54;Oficina;-;Activo
100699;2000-08-14;General Pico;RURAL;337;47,2;311;0;4;13,9 hs;12;3;Sí;No;26;Oficina;s/d;Activo
101047;2020-11-27;Trenel;RESIDENCIAL ;219;46,2;64;0;1;2,0 hs;12;0;No;Sí;68;Teléfono;6200;Activo
100754;2001-05-11;General Pico;residencial;320;-14,6;302;1;1;1,2 hs;12;0;Sí;Sí;41;App;6385;Activo
100758;03/10/2002;Intendente Alvear;Residencial;218;17,3;285;0;5;15,3 hs;12;1;N/D;No;36;Oficina;6200;Activo
100675;07/10/2007;Santa Rosa;Comercial;463;-46;224;2;1;4,3 hs;12;0;No;No;74;Oficina;N/D;Activo
100473;23/08/2004;Realicó;Resid.;452;15,5;262;1;2;3,4 hs;12;3;s/d;Sí;51;Oficina;s/d;Activo
100863;2002-05-06;Trenel;RESIDENCIAL ;404;-15,2;290;0;0;0,0 hs;12;0;-;No;48;Oficina;s/d;Activo
100016;10/05/2024;Eduardo Castex;Comercial;216;-21;22;0;3;3,8 hs;12;2;Sí;No;69;Oficina;-;Activo
100585;2009-02-28;Realicó;Residencial;-99;42,1;207;0;1;0,9 hs;12;1;N/D;Sí;70;Web;N/D;Activo
100569;2001-06-10;Santa Rosa;Comercial;383;20;301;-;1;3,2 hs;12;3;No;No;59;Web;N/D;Baja
100208;2001-07-10;GENERAL PICO ;Resid.;688;-15,1;300;;0;0,0 hs;12;3;Sí;Sí;61;Web;6300;Activo
101188;11/08/2012;Trenel;residencial;277;-5,8;165;1;4;3,6 hs;12;2;No;Sí;999;Oficina;6360;Activo
100000;17/05/2017;Trenel;RESIDENCIAL ;104;21,2;107;1;3;15,4 hs;12;0;N/D;No;63;App;N/D;Activo
100633;01/11/2025;General Pico;Comercial;191;-20,1;4;1;2;4,4 hs;12;3;No;No;35;Web;s/d;Baja
100535;2020-11-27;Realicó;Comercial;-99;33,3;64;1;5;24,1 hs;12;0;N/D;Sí;73;Teléfono;N/D;Baja
100258;02/07/2014;SANTA ROSA;Comercial;-99;23,3;142;2;1;3,1 hs;12;1;-;No;61;Web;6200;Baja
100925;;Realicó;Residencial;174;14,2;15;0;4;7,5 hs;12;1;No;No;54;Teléfono;N/D;Activo
101108;10/09/2012;Trenel;Residencial;164;52,4;164;0;2;11,5 hs;12;1;N/D;Sí;28;Oficina;6300;Activo
101120;22/12/2021;SANTA ROSA;RESIDENCIAL ;297;20,3;51;1;2;5,1 hs;12;1;No;No;31;Oficina;-;Activo
100908;15/08/2017;General Pico;Comercial;163;10,3;104;-;4;8,4 hs;12;3;No;No;52;Teléfono;s/d;Baja
100162;2024-05-10;Intendente Alvear;RESIDENCIAL ;164;0;22;2;1;1,2 hs;12;1;;No;58;Teléfono;;Baja
100719;03/11/1996;Sta. Rosa;residencial;;-13,6;357;0;4;3,3 hs;12;1;Sí;No;56;Web;s/d;Activo
100595;2013-04-08;SANTA ROSA;residencial;338;42,6;157;1;1;5,4 hs;12;1;;No;65;App;s/d;Activo
100834;2019-11-03;Realicó;Residencial;79;5;77;1;3;14,1 hs;12;1;Sí;No;52;Web;-;Activo
100151;03/09/2002;Realicó;Resid.;182;1,9;286;-;8;25,8 hs;12;0;Sí;Sí;46;Teléfono;6385;Activo
100985;2021-09-23;Realicó;RESIDENCIAL ;550;60,3;54;2;2;4,2 hs;12;1;No;Sí;38;Teléfono;N/D;Activo
100609;2003-11-27;Realicó;Residencial;173;-1,1;271;0;0;0,0 hs;12;0;Sí;No;51;Web;s/d;Activo
100474;2011-05-19;GENERAL PICO ;Comercial;315;-34,2;180;0;2;11,8 hs;12;2;Sí;Sí;45;Teléfono;;Activo
100865;2025-10-02;Realicó;Residencial;395;24,2;5;0;1;5,7 hs;12;1;N/D;No;61;App;N/D;Activo
100164;2014-05-03;Trenel;Rural;165;-21,5;144;0;0;0,0 hs;12;1;No;No;75;Teléfono;;Activo
100159;2017-11-13;Intendente Alvear;Resid.;248;-21,9;101;2;6;31,5 hs;12;0;-;No;63;Web;s/d;Baja
100074;05/06/2002;General Pico;RESIDENCIAL ;206;33,1;289;1;0;0,0 hs;12;0;;No;45;Oficina;-;Activo
101156;2016-07-21;SANTA ROSA;RESIDENCIAL ;298;36,9;117;1;4;9,9 hs;12;3;N/D;No;39;Oficina;6380;Baja
100506;2017-11-13;eduardo castex;Residencial;775;27,2;101;0;4;23,6 hs;12;1;s/d;No;37;Teléfono;-;Activo
100451;03/08/2025;Realicó;Residencial;291;s/d;7;0;7;35,5 hs;12;1;s/d;No;67;App;6200;Activo
100766;02/02/2014;Santa Rosa;Rural;204;-5,7;147;1;4;7,7 hs;12;0;-;Sí;40;Oficina;;Activo
101037;2000-04-16;E. Castex;Comercial;357;-28,9;315;-;0;0,0 hs;12;1;N/D;Sí;51;Oficina;-;Activo
100043;01/07/1997;Santa Rosa;Residencial;283;40,3;349;0;1;5,8 hs;12;16;-;No;27;App;;Activo
100970;2014-02-02;general pico;Residencial;145;52,3;147;0;3;7,1 hs;12;1;No;No;64;Oficina;s/d;Activo
100447;2024-09-07;General Pico;Comercial;309;-39,2;18;s/d;4;21,9 hs;12;1;Sí;Sí;76;Oficina;;Activo
101074;22/08/2010;General Pico;rural;1100;17;189;1;3;16,4 hs;12;1;No;Sí;50;Oficina;s/d;Activo
100262;2023-05-16;Realicó;Comercial;254;-14,9;34;s/d;3;8,6 hs;12;1;Sí;No;37;Web;N/D;Activo
101138;2005-08-18;Intendente Alvear;rural;581;-;250;1;6;17,1 hs;12;17;No;Sí;25;Web;s/d;Activo
100147;19/05/2011;Trenel;Comercial;367;27;180;2;2;8,3 hs;12;1;N/D;No;50;Oficina;6385;Baja
100414;;Intendente Alvear;Residencial;456;-12,6;103;;6;23,8 hs;12;1;-;Sí;53;Teléfono;;Baja
101009;2007-03-11;Eduardo Castex;Residencial;326;-20,7;231;0;4;21,9 hs;12;1;;No;64;Oficina;N/D;Activo
100290;2011-07-18;Eduardo Castex;rural;235;20,8;178;-;3;14,0 hs;12;0;Sí;No;54;Teléfono;;Activo
100328;22/09/2004;Realicó;Residencial;94;23,5;261;2;1;2,7 hs;12;0;Sí;No;42;Web;-;Activo
100389;11/11/2006;General Pico;Residencial;443;12,1;235;0;4;6,4 hs;12;0;No;No;60;App;s/d;Activo
100718;2018-06-11;Intendente Alvear;Residencial;682;-7,4;94;2;1;0,8 hs;12;2;N/D;No;41;Teléfono;N/D;Activo
100732;01/06/1997;General Pico;Residencial;255;-2,5;350;1;2;5,6 hs;12;2;No;Sí;53;Oficina;N/D;Activo
100485;11/12/2006;Intendente Alvear;Comercial;387;-37,3;234;0;2;9,0 hs;12;0;;No;49;Web;N/D;Activo
101038;08/10/2001;Trenel;Residencial;391;-0,4;297;s/d;3;8,8 hs;12;0;No;No;33;Oficina;N/D;Activo
100963;08/04/2013;Intendente Alvear;Residencial;-;-17,1;157;1;1;3,5 hs;12;1;s/d;Sí;49;App;-;Activo
100052;18/06/2011;Santa Rosa;Residencial;-;40,2;179;0;6;4,5 hs;12;1;No;Sí;66;Oficina;;Activo
100018;19/09/1999;Trenel;Residencial;219;5,1;322;0;2;7,7 hs;12;2;N/D;No;56;Web;s/d;Activo
100088;22/04/1999;Gral. Pico;Residencial;135;-35,7;327;s/d;2;1,5 hs;12;2;Sí;No;76;Teléfono;s/d;Activo
100191;2004-01-26;Eduardo Castex;Comercial;634;29,9;269;;7;7,1 hs;12;0;s/d;Sí;48;Teléfono;N/D;Activo
100175;2019-07-06;Gral. Pico;Rural;154;-35,9;81;0;2;10,1 hs;12;4;;Sí;65;Oficina;s/d;Activo
101110;16/11/2005;Eduardo Castex;Comercial;386;3,9;247;1;3;7,0 hs;12;2;Sí;Sí;52;Teléfono;N/D;Activo
100368;;Realicó;RESIDENCIAL ;358;1,4;127;1;3;15,5 hs;12;1;-;No;22;Web;-;Activo
100814;2008-02-04;Gral. Pico;Residencial;311;-10,8;220;0;3;5,5 hs;12;1;Sí;Sí;23;App;s/d;Activo
100298;2025-08-03;Santa Rosa;Residencial;219;-5,6;7;1;3;1,9 hs;12;1;No;No;63;App;;Baja
100051;25/04/2004;General Pico;Comercial;167;-;266;1;5;7,0 hs;12;1;;Sí;59;Oficina;N/D;Activo
101058;03/11/2019;Realicó;Comercial;111;-25,9;77;0;2;11,0 hs;12;0;;No;18;Oficina;N/D;Activo
101132;2011-02-18;Intendente Alvear;Comercial;269;-44,2;183;1;5;3,9 hs;12;0;-;No;45;App;N/D;Activo
100006;05/01/2025;E. Castex;Residencial;349;25,4;14;-;4;18,1 hs;12;0;;No;51;Teléfono;;Baja
100851;2019-12-03;Santa Rosa;RURAL;355;-46,3;76;2;1;4,3 hs;12;2;No;Sí;53;Web;-;Activo
101060;30/06/2003;Intendente Alvear;Comercial;424;-10,1;276;-;2;6,1 hs;12;2;N/D;No;84;Teléfono;N/D;Baja
100366;2000-10-13;Intendente Alvear;Residencial;167;15,2;309;0;2;4,7 hs;12;1;No;No;20;Web;s/d;Activo
100504;30/11/2008;Eduardo Castex;Comercial;528;25,1;210;0;1;2,2 hs;12;1;;No;77;Web;;Baja
100329;2015-12-24;Sta. Rosa;Resid.;246;14,6;124;;2;6,4 hs;12;1;No;No;44;App;-;Activo
100241;2014-03-04;Trenel;Residencial;187;-22,1;146;s/d;2;4,4 hs;12;3;No;Sí;58;Teléfono;N/D;Activo
100141;2012-09-10;Intendente Alvear;Residencial;101;7,5;164;0;3;11,4 hs;12;2;-;No;66;Teléfono;6385;Activo
100495;2010-03-25;Realicó;Residencial;427;3,5;194;1;4;16,6 hs;12;0;-;No;47;Teléfono;6385;Activo
100912;29/09/1997;Intendente Alvear;residencial;118;18,3;346;0;3;2,5 hs;12;2;Sí;Sí;36;Oficina;;Activo
101185;2020-03-02;general pico;Residencial;224;50,7;73;1;2;6,4 hs;12;2;-;No;55;Oficina;s/d;Activo
100961;2018-05-12;Trenel;Comercial;115;30,2;95;1;1;4,6 hs;12;3;No;No;29;Oficina;s/d;Baja
100611;2004-08-23;Santa Rosa;RESIDENCIAL ;221;-10,2;262;2;0;0,0 hs;12;2;;No;66;Web;s/d;Activo
101195;28/02/2009;Trenel;residencial;-99;-18,3;207;;2;5,5 hs;12;2;Sí;No;49;Web;s/d;Activo
100135;;Realicó;Residencial;405;-16,5;340;3;6;10,2 hs;12;0;;No;46;Web;s/d;Baja
100031;26/08/2015;Realicó;Rural;433;55,2;128;1;0;0,0 hs;12;0;No;No;55;App;N/D;Activo
100275;25/07/2021;general pico;Residencial;511;40,7;56;s/d;4;20,4 hs;12;2;-;No;26;Oficina;;Activo
100039;2004-08-23;Realicó;Rural;185;-13,5;262;0;1;3,8 hs;12;1;s/d;No;62;App;s/d;Activo
100404;2021-12-22;SANTA ROSA;rural;134;N/D;51;0;2;5,8 hs;12;2;Sí;No;48;App;6385;Activo
100381;2006-07-14;Santa Rosa;Residencial;347;-0,4;239;0;3;16,0 hs;12;1;;Sí;43;Web;N/D;Activo
100303;02/11/2002;Realicó;Resid.;147;-15;284;-;1;5,3 hs;12;0;Sí;No;48;Web;s/d;Activo
100242;05/05/2025;Trenel;rural;210;-43,7;10;s/d;4;6,0 hs;12;2;s/d;No;55;Web;s/d;Activo
100424;2011-11-15;Trenel;residencial;1005;57,9;174;1;3;7,2 hs;12;2;No;Sí;38;Web;s/d;Activo
101045;2011-01-19;General Pico;Resid.;470;24,2;184;0;3;17,6 hs;12;0;-;No;37;App;N/D;Activo
100886;17/08/2011;Eduardo Castex;Comercial;241;-32,9;177;2;3;8,2 hs;12;0;s/d;No;36;Web;s/d;Activo
100005;25/09/2015;Eduardo Castex;Residencial;305;-7,7;127;2;1;1,2 hs;12;0;-;Sí;54;Web;-;Activo
100582;2001-05-11;eduardo castex;Residencial;488;1,4;302;N/D;2;3,6 hs;12;0;No;Sí;32;Teléfono;s/d;Activo
101152;2017-03-18;Realicó;Comercial;186;-27;109;2;3;13,2 hs;12;3;No;No;18;Oficina;6200;Baja
100029;27/11/2003;Eduardo Castex;Comercial;155;-14,6;271;1;3;9,1 hs;12;2;s/d;Sí;52;Web;-;Activo
100174;1997-12-28;Realicó;Residencial;-99;0,8;343;1;0;0,0 hs;12;1;;No;26;Teléfono;6380;Activo
100756;2017-07-16;Trenel;residencial;72;19,1;105;1;3;10,5 hs;12;3;No;No;26;Teléfono;;Baja
100410;2016-07-21;Santa Rosa;residencial;s/d;21,1;117;;4;10,2 hs;12;1;No;No;67;Oficina;-;Baja
100337;2024-01-11;General Pico;residencial;266;-37,5;26;;4;3,0 hs;12;2;Sí;Sí;49;Web;-;Activo
100108;2001-06-10;Eduardo Castex;Comercial;311;5,5;301;0;1;0,5 hs;12;1;No;No;48;Web;;Activo
100128;02/05/1997;Realicó;Resid.;257;18,1;351;0;5;25,3 hs;12;1;s/d;No;55;App;N/D;Activo
100307;2003-01-31;Santa Rosa;residencial;262;-23,2;281;3;0;0,0 hs;12;0;s/d;Sí;70;Oficina;;Activo
101080;2017-08-15;general pico;RESIDENCIAL ;488;-10,3;104;0;2;11,6 hs;12;2;Sí;No;36;Web;;Baja
100568;2021-08-24;Realicó;RESIDENCIAL ;127;14,6;55;-;3;13,6 hs;12;3;No;Sí;38;Web;-;Activo
100532;04/08/2002;Intendente Alvear;rural;308;-17,7;287;1;2;6,0 hs;12;3;s/d;Sí;56;Oficina;s/d;Activo
100646;29/12/2014;Realicó;Residencial;434;-9;136;0;4;15,0 hs;12;2;N/D;No;18;Teléfono;;Activo
100882;2022-08-19;Realicó;RESIDENCIAL ;175;22,4;43;2;1;1,1 hs;12;1;No;No;54;Teléfono;-;Activo
100803;2021-10-23;General Pico;Resid.;246;-28,8;53;0;2;1,6 hs;12;0;No;No;31;Oficina;;Activo
100342;2013-07-07;Gral. Pico;RESIDENCIAL ;163;-4,9;154;2;1;1,3 hs;12;1;No;No;60;Web;N/D;Activo
100526;20/06/2022;Intendente Alvear;RESIDENCIAL ;66;-28,8;45;0;4;21,4 hs;12;2;s/d;Sí;75;Oficina;;Activo
100203;02/02/2014;SANTA ROSA;Residencial;122;9,5;147;0;1;1,7 hs;12;1;s/d;Sí;57;Oficina;s/d;Activo
101184;1998-09-24;general pico;Resid.;226;-35,4;334;;2;9,3 hs;12;2;;Sí;35;Web;N/D;Activo
100996;24/08/2021;Trenel;Residencial;399;-19,7;55;-;6;12,1 hs;12;2;No;Sí;49;App;6200;Baja
100668;2023-06-15;Realicó;Comercial;236;-4,3;33;1;5;26,1 hs;12;1;-;Sí;31;Web;s/d;Baja
100143;2008-10-01;Trenel;Resid.;449;-45,5;212;0;1;0,6 hs;12;1;s/d;Sí;61;Teléfono;s/d;Baja
100187;19/07/2005;E. Castex;Residencial;73;-10,5;251;0;3;3,2 hs;12;0;Sí;No;47;Teléfono;s/d;Activo
100113;2000-01-17;E. Castex;Residencial;286;26,7;318;1;3;16,6 hs;12;1;No;No;66;Web;-;Activo
100341;04/03/2014;Trenel;rural;331;-5,2;146;2;1;2,4 hs;12;1;Sí;Sí;58;App;s/d;Activo
101004;29/04/2009;Realicó;Resid.;117;-31,1;205;1;3;13,7 hs;12;2;No;Sí;60;App;;Activo
100616;2023-04-16;Gral. Pico;Residencial;133;-48,7;35;0;4;12,2 hs;12;1;Sí;Sí;35;Oficina;-;Activo
